Target_protein,Target_Uniprot_AC,StringID_Target,Interactor,Interactor_UniProt_AC,StringID_Interactor,String_score,Experimental_score,Database_score,Textmining_score,PDB_ID,Experiment_Type,Resolution
BARD1,Q99728,9606.ENSP00000260947,BRCA1,P38398,9606.ENSP00000418960,0.999,0.999,0.9,0.993,1JM7,SOLUTION NMR,
BARD1,Q99728,9606.ENSP00000260947,BRCA1,P38398,9606.ENSP00000418960,0.999,0.999,0.9,0.993,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,BRCA1,P38398,9606.ENSP00000418960,0.999,0.999,0.9,0.993,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,BRCA1,P38398,9606.ENSP00000418960,0.999,0.999,0.9,0.993,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,BRCC3,P46736,9606.ENSP00000358474,0.999,0.647,0.9,0.994,,,
BARD1,Q99728,9606.ENSP00000260947,MRE11,P49959,9606.ENSP00000325863,0.999,0.994,0.54,0.753,,,
BARD1,Q99728,9606.ENSP00000260947,BRCA2,P51587,9606.ENSP00000369497,0.999,0.793,0.72,0.995,,,
BARD1,Q99728,9606.ENSP00000260947,RAD51,Q06609,9606.ENSP00000493712,0.999,0.758,0.72,0.993,,,
BARD1,Q99728,9606.ENSP00000260947,ABRAXAS1,Q6UWZ7,9606.ENSP00000369857,0.999,0.994,0.9,0.993,,,
BARD1,Q99728,9606.ENSP00000260947,UIMC1,Q96RL1,9606.ENSP00000421926,0.999,0.477,0.9,0.996,,,
BARD1,Q99728,9606.ENSP00000260947,RBBP8,Q99708,9606.ENSP00000382628,0.999,0.994,0.7,0.917,,,
BARD1,Q99728,9606.ENSP00000260947,BRIP1,Q9BX63,9606.ENSP00000259008,0.999,0.994,0.54,0.753,,,
BARD1,Q99728,9606.ENSP00000260947,BABAM2,Q9NXR7,9606.ENSP00000343412,0.999,0.334,0.9,0.995,,,
BARD1,Q99728,9606.ENSP00000260947,NBN,O60934,9606.ENSP00000265433,0.998,0.994,0.54,0.599,,,
BARD1,Q99728,9606.ENSP00000260947,TOPBP1,Q92547,9606.ENSP00000260810,0.998,0.994,0.54,0.522,,,
BARD1,Q99728,9606.ENSP00000260947,BABAM1,Q9NWV8,9606.ENSP00000352408,0.998,0.063,0.9,0.986,,,
BARD1,Q99728,9606.ENSP00000260947,CSTF1,Q05048,9606.ENSP00000217109,0.997,0.833,0.0,0.986,,,
BARD1,Q99728,9606.ENSP00000260947,RAD50,Q92878,9606.ENSP00000368100,0.997,0.994,0.54,0.323,,,
BARD1,Q99728,9606.ENSP00000260947,BAP1,Q92560,9606.ENSP00000417132,0.994,0.07,0.9,0.948,,,
BARD1,Q99728,9606.ENSP00000260947,PALB2,Q86YC2,9606.ENSP00000261584,0.987,0.291,0.5,0.966,,,
BARD1,Q99728,9606.ENSP00000260947,UBE2D3,A0A087WY85,9606.ENSP00000349722,0.983,0.882,0.0,0.859,,,
BARD1,Q99728,9606.ENSP00000260947,UBE2D3,P61077,9606.ENSP00000349722,0.983,0.882,0.0,0.859,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,UBE2D3,P61077,9606.ENSP00000349722,0.983,0.882,0.0,0.859,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,UBE2D3,P61077,9606.ENSP00000349722,0.983,0.882,0.0,0.859,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,TP53,P04637,9606.ENSP00000269305,0.982,0.745,0.5,0.875,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC8,P04908,9606.ENSP00000303373,0.981,0.962,0.5,0.087,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H2AC8,P04908,9606.ENSP00000303373,0.981,0.962,0.5,0.087,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H2AC8,P04908,9606.ENSP00000303373,0.981,0.962,0.5,0.087,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C6,P62805,9606.ENSP00000244537,0.981,0.93,0.5,0.519,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C6,P62805,9606.ENSP00000244537,0.981,0.93,0.5,0.519,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C6,P62805,9606.ENSP00000244537,0.981,0.93,0.5,0.519,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C6,P62805,9606.ENSP00000244537,0.981,0.93,0.5,0.519,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,RNF2,Q99496,9606.ENSP00000356480,0.98,0.042,0.9,0.814,,,
BARD1,Q99728,9606.ENSP00000260947,H2BC21,Q16778,9606.ENSP00000358151,0.978,0.942,0.5,0.294,,,
BARD1,Q99728,9606.ENSP00000260947,UBC,P0CG48,9606.ENSP00000441543,0.97,0.93,0.5,0.205,,,
BARD1,Q99728,9606.ENSP00000260947,RAD51C,O43502,9606.ENSP00000336701,0.967,0.045,0.5,0.93,,,
BARD1,Q99728,9606.ENSP00000260947,UBE2S,Q16763,9606.ENSP00000264552,0.961,0.108,0.9,0.598,,,
BARD1,Q99728,9606.ENSP00000260947,OLA1,Q9NTK5,9606.ENSP00000284719,0.958,0.523,0.0,0.913,,,
BARD1,Q99728,9606.ENSP00000260947,H2BC11,P06899,9606.ENSP00000476136,0.956,0.905,0.5,0.121,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H2BC11,P06899,9606.ENSP00000476136,0.956,0.905,0.5,0.121,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H2BC12,O60814,9606.ENSP00000349430,0.955,0.905,0.5,0.119,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H2BC12,O60814,9606.ENSP00000349430,0.955,0.905,0.5,0.119,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,UBB,P0CG47,9606.ENSP00000478771,0.954,0.906,0.5,0.093,7E8I,ELECTRON MICROSCOPY,3.1
BARD1,Q99728,9606.ENSP00000260947,UBB,P0CG47,9606.ENSP00000478771,0.954,0.906,0.5,0.093,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,MDC1,Q14676,9606.ENSP00000365588,0.954,0.618,0.5,0.767,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC13,P0C0S8,9606.ENSP00000351589,0.953,0.903,0.5,0.093,,,
BARD1,Q99728,9606.ENSP00000260947,UBE2D1,P51668,9606.ENSP00000363019,0.953,0.832,0.0,0.729,,,
BARD1,Q99728,9606.ENSP00000260947,RPS27A,P62979,9606.ENSP00000272317,0.953,0.906,0.5,0.087,,,
BARD1,Q99728,9606.ENSP00000260947,UBA52,P62987,9606.ENSP00000388107,0.953,0.903,0.5,0.121,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC6,Q93077,9606.ENSP00000367022,0.951,0.903,0.5,0.072,,,
BARD1,Q99728,9606.ENSP00000260947,H3C1,P68431,9606.ENSP00000480826,0.946,0.942,0.0,0.102,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C1,P68431,9606.ENSP00000480826,0.946,0.942,0.0,0.102,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,ATM,Q13315,9606.ENSP00000278616,0.946,0.07,0.5,0.892,,,
BARD1,Q99728,9606.ENSP00000260947,RAD51D,O75771,9606.ENSP00000466399,0.94,0.045,0.5,0.884,,,
BARD1,Q99728,9606.ENSP00000260947,CHEK2,O96017,9606.ENSP00000372023,0.937,0.072,0.5,0.863,,,
BARD1,Q99728,9606.ENSP00000260947,UBE2C,O00762,9606.ENSP00000348838,0.936,0.108,0.9,0.248,,,
BARD1,Q99728,9606.ENSP00000260947,XRCC6,P12956,9606.ENSP00000352257,0.936,0.292,0.5,0.83,,,
BARD1,Q99728,9606.ENSP00000260947,H3C12,P68431,9606.ENSP00000352252,0.935,0.908,0.0,0.301,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C12,P68431,9606.ENSP00000352252,0.935,0.908,0.0,0.301,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,RING1,Q06587,9606.ENSP00000363787,0.926,0.042,0.9,0.294,,,
BARD1,Q99728,9606.ENSP00000260947,MSH6,P52701,9606.ENSP00000234420,0.925,0.526,0.0,0.829,,,
BARD1,Q99728,9606.ENSP00000260947,BMI1,P35226,9606.ENSP00000365851,0.924,0.0,0.9,0.278,,,
BARD1,Q99728,9606.ENSP00000260947,CDC16,Q13042,9606.ENSP00000348554,0.92,0.091,0.9,0.162,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC11,Q9NYG5,9606.ENSP00000349957,0.917,0.071,0.9,0.185,,,
BARD1,Q99728,9606.ENSP00000260947,H3C2,P68431,9606.ENSP00000484841,0.916,0.905,0.0,0.111,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C2,P68431,9606.ENSP00000484841,0.916,0.905,0.0,0.111,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,ANAPC4,Q9UJX5,9606.ENSP00000426654,0.916,0.125,0.9,0.08,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC2,Q9UJX6,9606.ENSP00000314004,0.916,0.091,0.9,0.155,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC5,Q9UJX4,9606.ENSP00000261819,0.915,0.055,0.9,0.164,,,
BARD1,Q99728,9606.ENSP00000260947,CDC27,P30260,9606.ENSP00000434614,0.914,0.106,0.9,0.106,,,
BARD1,Q99728,9606.ENSP00000260947,H3C10,P68431,9606.ENSP00000358160,0.914,0.905,0.0,0.127,7LYB,ELECTRON MICROSCOPY,3.28
