target uniprot id,target uniprot gene,interactor uniprot id,interactor uniprot gene,mentha score,PDB id,fusion,target chain id,target starting residue,target ending residue,interactor chain id,interactor starting residue,interactor ending residue,other interactors,method,resolution,dna chains,num ligands,PMID,HuRI,humap
Q9Y5F1,PCDHB12,Q9Y5E2,PCDHB7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.081168
Q9Y5F1,PCDHB12,Q9Y5F2,PCDHB11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.04474
Q9Y5F1,PCDHB12,Q9Y6N9,USH1C,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.090987,na
Q9Y5F1,PCDHB12,Q3MJ62,ZSCAN23,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.047608,na
Q9Y5F1,PCDHB12,P08727,KRT19,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.121671,na
Q9Y5F1,PCDHB12,P0C7W6,CCDC172,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.043365,na
Q9Y5F1,PCDHB12,Q86XA8,KLHL17 {ECO:0000313|EMBL:AAH45768.1},0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,na,na
Q9Y5F1,PCDHB12,P23527,HIST1H2BO,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.031539,na
Q9Y5F1,PCDHB12,Q9BT78,COPS4,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.339812,na
Q9Y5F1,PCDHB12,Q15006,EMC2,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.224032,na
Q9Y5F1,PCDHB12,Q9H2G9,BLZF1,0.236,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 ,0.032936,na
P54252,ATXN3,P0CG48,UBC,1,2JRI,na,A,1,182,B;C,609;609,684;684,na,Solution NMR,na,0.0,0.0,18599482 25527291 14559776 25231079 20865150 25144244 25448680 20622874 23625928 21118805 12857950 25988170 16196087 23314748 23659897 16118278 16040601 19153604 14602712 ,na,na
P54252,ATXN3,P55072,VCP,0.999,na,na,na,na,na,na,na,na,na,na,na,na,na,12944474 16822850 19843543 14749733 22970133 16525503 20414249 18199748 25231079 19175675 23383273 27851749 24100225 28275011 ,na,na
P54252,ATXN3,O60260,PARK2,0.953,na,na,na,na,na,na,na,na,na,na,na,na,na,22081612 20940148 24063750 ,na,na
P54252,ATXN3,P54252,ATXN3,0.943,4YS9,na,B,278,329,B,278,329,P0AEY0,X-ray diffraction,2,0.0,1.0,22129356 21780213 16194547 16525503 ,na,na
P54252,ATXN3,P54252,ATXN3,0.943,2KLZ,na,A,222,263,A,222,263,na,Solution NMR,na,0.0,0.0,22129356 21780213 16194547 16525503 ,na,na
P54252,ATXN3,P54252,ATXN3,0.943,1YZB,na,A,1,182,A,1,182,na,Solution NMR,na,0.0,0.0,22129356 21780213 16194547 16525503 ,na,na
P54252,ATXN3,P54252,ATXN3,0.943,4WTH,na,A;B,278;278,329;329,A;B,278;278,329;329,P0AEX9,X-ray diffraction,2.25,0.0,1.0,22129356 21780213 16194547 16525503 ,na,na
P54252,ATXN3,P54252,ATXN3,0.943,2AGA,na,A,1,185,A,1,185,na,Solution NMR,na,0.0,0.0,22129356 21780213 16194547 16525503 ,na,na
P54252,ATXN3,P54252,ATXN3,0.943,2DOS,na,A,1,171,A,1,171,na,Solution NMR,na,0.0,0.0,22129356 21780213 16194547 16525503 ,na,na
P54252,ATXN3,P54252,ATXN3,0.943,2JRI,na,A,1,182,A,1,182,P0CG48,Solution NMR,na,0.0,0.0,22129356 21780213 16194547 16525503 ,na,na
P54252,ATXN3,P54725,RAD23A,0.922,na,na,na,na,na,na,na,na,na,na,na,na,na,10915768 19013454 17935801 16712842 22970133 16713569 ,0.03194,na
P54252,ATXN3,Q9UNE7,STUB1,0.914,na,na,na,na,na,na,na,na,na,na,na,na,na,21855799 20943656 19153604 21625540 ,na,na
P54252,ATXN3,P54727,RAD23B,0.82,na,na,na,na,na,na,na,na,na,na,na,na,na,10915768 16713569 16712842 19843543 ,na,na
P54252,ATXN3,P49841,GSK3B,0.748,na,na,na,na,na,na,na,na,na,na,na,na,na,17434145 21900206 ,na,na
P54252,ATXN3,P04637,TP53,0.74,na,na,na,na,na,na,na,na,na,na,na,na,na,27851749 ,na,na
P54252,ATXN3,O75376,NCOR1,0.702,na,na,na,na,na,na,na,na,na,na,na,na,na,17079677 ,na,na
P54252,ATXN3,O15379,HDAC3,0.702,na,na,na,na,na,na,na,na,na,na,na,na,na,17079677 ,na,na
